"postcode","postcode_space","postcode area","Average download speed (Mbit/s)","Maximum download speed (Mbit/s)","Minimum download speed (Mbit/s)","Average upload speed (Mbit/s)","Maximum upload speed (Mbit/s)","Minimum upload speed (Mbit/s)","Average data usage (GB)","All Premises","Connected Premises","lsoa_area","city"
"PL51JR","PL5 1JR","PL",2.63905732961526,3.26575941076705,1.09861228866811,0.832909122935104,1.64865862558738,0.336472236621213,4.84418708645859,11,11,"Plymouth 009B","Plymouth"
"PL51JT","PL5 1JT","PL",2.87356463957978,4.22390976657674,1.94591014905531,1.33500106673234,3.04452243772342,0.587786664902119,5.15329159449778,15,15,"Plymouth 009B","Plymouth"
"PL51JU","PL5 1JU","PL",2.41591377830105,3.00071981506503,1.70474809223843,0.916290731874155,1.38629436111989,0.336472236621213,4.54329478227,10,10,"Plymouth 009B","Plymouth"
"PL51JW","PL5 1JW","PL",2.85070650150373,3.60549784517489,1.06471073699243,1.45861502269952,2.04122032885964,0.53062825106217,4.9416424226093,6,6,"Plymouth 009B","Plymouth"
"PL51JX","PL5 1JX","PL",2.75366071235426,3.9963641538619,1.66770682055808,1.09861228866811,2.4423470353692,0.587786664902119,4.39444915467244,12,12,"Plymouth 009B","Plymouth"
"PL51JY","PL5 1JY","PL",2.60268968544438,3.01062088604774,1.96009478404727,0.693147180559945,0.8754687373539,0.336472236621213,4.8283137373023,13,13,"Plymouth 009B","Plymouth"
"PL51JZ","PL5 1JZ","PL",2.68102152871429,4.02535169073515,1.16315080980568,1.09861228866811,2.39789527279837,0.53062825106217,4.65396035015752,14,14,"Plymouth 009B","Plymouth"
"PL51LA","PL5 1LA","PL",3.09557760852371,3.80666248977032,1.77495235091167,1.33500106673234,2.26176309847379,0.336472236621213,4.46590811865458,7,7,"Plymouth 009B","Plymouth"
"PL51LB","PL5 1LB","PL",2.81540871942271,3.00568260440716,2.65324196460721,0.741937344729377,0.832909122935104,0.693147180559945,6.0591231955818,8,8,"Plymouth 009B","Plymouth"
"PL51LD","PL5 1LD","PL",2.77258872223978,3.08190996979504,2.4423470353692,0.741937344729377,0.832909122935104,0.587786664902119,5.46383180502561,10,10,"Plymouth 009B","Plymouth"
"PL51LE","PL5 1LE","PL",4.28771595520264,5.30330490805908,2.61006979274201,1.87180217690159,2.56494935746154,0.693147180559945,5.605802066296,12,12,"Plymouth 009B","Plymouth"
"PL51LF","PL5 1LF","PL",4.45318382899021,5.30330490805908,0.78845736036427,1.85629799036563,2.56494935746154,0.470003629245736,5.36129216570943,12,12,"Plymouth 009B","Plymouth"
"PL51LG","PL5 1LG","PL",3.91601502669768,5.30330490805908,0.336472236621213,1.56861591791385,2.56494935746154,0.336472236621213,5.10594547390058,39,39,"Plymouth 009B","Plymouth"
"PL51LH","PL5 1LH","PL",3.76120011569356,5.30330490805908,1.64865862558738,1.7404661748405,2.99573227355399,0.182321556793955,4.76217393479776,30,30,"Plymouth 009B","Plymouth"
"PL51LJ","PL5 1LJ","PL",3.8416005411316,5.30330490805908,1.98787434815435,1.68639895357023,3.04452243772342,0.336472236621213,5.11799381241676,49,49,"Plymouth 009B","Plymouth"
"PL51LQ","PL5 1LQ","PL",4.53367418428302,5.30330490805908,2.19722457733622,2.16332302566054,3.04452243772342,0.741937344729377,4.74493212836325,20,20,"Plymouth 009B","Plymouth"
"PL51LS","PL5 1LS","PL",3.8155121050473,4.67562864963665,0.741937344729377,1.48160454092422,2.05412373369555,0.53062825106217,2.94443897916644,9,9,"Plymouth 009G","Plymouth"
"PL51LT","PL5 1LT","PL",4.56226268497681,5.30330490805908,2.46809953147162,2.05412373369555,2.56494935746154,0.693147180559945,5.18738580584075,24,24,"Plymouth 009B","Plymouth"
"PL51LU","PL5 1LU","PL",4.05352256770185,5.30330490805908,1.54756250871601,1.6094379124341,2.56494935746154,0.336472236621213,5.31811999384422,22,22,"Plymouth 009B","Plymouth"
"PL51LX","PL5 1LX","PL",4.39321382406445,5.30330490805908,2.27212588550934,2.11625551480255,2.56494935746154,0.641853886172395,5.2040066870768,8,8,"Plymouth 009G","Plymouth"
"PL51LY","PL5 1LY","PL",4.254193263164,5.30330490805908,1.97408102602201,2.21920348405499,3.04452243772342,0.641853886172395,5.37063802812766,27,27,"Plymouth 009D","Plymouth"
"PL51LZ","PL5 1LZ","PL",3.00071981506503,3.2188758248682,2.50959926237837,0.741937344729377,0.78845736036427,0.641853886172395,6.0137151560428,6,6,"Plymouth 009D","Plymouth"
"PL51ND","PL5 1ND","PL",4.54009818924438,5.30330490805908,3.03495298670727,1.88706964903238,2.56494935746154,0.832909122935104,4.30406509320417,5,5,"Plymouth 009D","Plymouth"
"PL51NE","PL5 1NE","PL",4.52936847257181,5.30330490805908,2.04122032885964,2.17475172148416,3.00568260440716,0.741937344729377,5.22035582507832,14,14,"Plymouth 009G","Plymouth"
